rank,word,text,year,preset
31,urban,"Disaster mortality reflects not only exposure to hazards, but also a confluence of other vulnerability factors, such as poor urban management, environmental degradation, lack of disaster preparedness, and poverty and inequality.",2017,
31,forest,"A growing number of forest areas are being sustainably managed, integrating policies and practices that protect forest ecosystems and address drivers of degradation.",2018,
31,areas,Protected areas and policies and treaties that encourage responsible extraction of ocean resources are critical to confronting these threats.,2019,
31,national,"Under international law, civilians are to be protected in armed conflicts.",2020,
31,support,Urgently expanding income support and social protection coverage could help offset this rise.,2021,
31,2015,"Though unacceptably high, the number of civilian conflict-related deaths dropped by 17 per cent compared to 2020, and by 69 per cent compared to 2015.",2022,
32,worldwide,"However, the births of more than one in four children under age 5 worldwide go unrecorded.",2016,
32,age,"Moreover, in 2015, these countries had, on average, a homicide rate that was nine times greater than countries where income was more evenly distributed.",2017,
32,globally,"The ""material footprint"" of an economy refers to the total amount of raw materials extracted globally—across the entire supply chain—to meet that economy's final consumption demand.",2018,
32,climate,"As greenhouse gas levels continue to climb, climate change is occurring much faster than anticipated, and its effects are evident worldwide.",2019,yes
32,2015,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020,
32,national,"It is associated with rampant violations of human rights and international humanitarian law, including against children.",2021,
32,growth,"Marine protected areas (MPAs) and other effective, area-based measures to conserve biodiversity – including marine sanctuaries, parks and reserves – have seen substantial growth over the last decade.",2022,yes
33,social,Registering children at birth is the first step in securing recognition before the law and safeguarding individual rights and access to justice and social services.,2016,
33,sustainable,"It also signals the commitment of nations to take action for the climate and sustainable development, translating the goals of the Paris Agreement into actionable strategies and shifting global financial flows onto lowcarbon, climate-resilient pathways.",2017,
33,proportion,"Between 2000 and 2015, the proportion of the global population practising open defecation declined from 20 per cent to 12 per cent.",2018,
33,sustainable,Conflict and other forms of violence are an affront to sustainable development.,2019,
33,world,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020,
33,energy,"As of April 2020, 120 countries reported that they had developed and adopted national and/or local disaster risk reduction strategies, up from 48 during the Sendai Framework’s nascent period in 2015.Students in the Lao People’s Democratic Republic get at least one third of their daily energy and nutrition needs filled through a national school feeding programme.",2021,
33,sustainable,"Ending armed conflicts, strengthening institutions and enacting inclusive and equitable legislation that protects the human rights of all persons are necessary preconditions for sustainable development.The United Nations recorded at least 13,842 deaths associated with 12 of the world's deadliest armed conflicts in 2021.",2022,
34,2012,"Worldwide, the proportion of people held in detention without being sentenced for a crime decreased only slightly over the last decade—from 32 per cent of total detainees in 2003-2005 to 30 per cent in 2012-2014.",2016,
34,levels,Disparities abound: data show that countries with higher income inequality suffer from higher levels of violence.,2017,
34,2010,"Global energy intensity—the ratio of energy used per unit of GDP—decreased by 2.8 per cent in 2015, faster than in any year since 1990 and double the rate of improvement between 1990 and 2010.",2018,
34,age,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019,
34,deaths,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020,
34,2018,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021,
34,income,"Since it was established, Mr. Ayamisebahe says that fish stocks are thriving and incomes rising.",2022,
35,age,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016,
35,world,"Homicides are slowly declining, and more citizens around the world have better access to justice.",2017,
35,women,The role of women’s participation is increasingly important as a measure of equity.,2018,yes
35,development,"Millions of people have been deprived of their security, rights and opportunities, while attacks on human rights activists and journalists are holding back development.",2019,
35,globally,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020,
35,three,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021,
35,worldwide,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022,
36,goal,"Halving the number of global deaths and injuries from road traffic accidents by 2020 is an ambitious goal given the dramatic increase in the number of vehicles, which nearly doubled between 2000 and 2013.",2016,
36,years,"However, violent conflicts have increased in recent years, and a number of high-intensity armed conflicts are causing large numbers of civilian casualties and driving millions of people from their homes.",2017,
36,LDCs,Bilateral ODA from DAC countries to LDCs increased by 4.0 per cent in real terms since 2016.,2018,
36,Southern,"Central and Southern Asia and South-Eastern Asia also lag behind at 68 per cent and 82 per cent, respectively.",2019,
36,poverty,"Managing fish stocks sustainably is crucial to harnessing the benefits of fisheries and aquaculture to alleviate poverty, hunger and malnutrition, and to generate economic growth.",2020,
36,deaths,"Armed conflict results in civilian deaths, injury and trauma, displacement and damaged essential infrastructure, including health care.",2021,
36,risk,"Many of these conflict situations are fragile, with a growing risk of escalation and associated violations of international human rights and international humanitarian law.",2022,
37,marine,"Oceans, seas and other marine resources are essential to human well-being and social and economic development worldwide.",2016,
37,share,"However, the share of women and girls slowly declined, from 84 per cent in 2004 to 71 per cent in 2014.",2017,
37,sanitation,Safe drinking water and sanitation are basic human rights.,2018,
37,needed,But much more work is needed to ensure that these mechanisms are implemented properly.,2019,
37,development," Conflict, insecurity, weak institutions and limited access to justice remain threats to sustainable development.",2020,
37,America,Women comprised 13 per cent of the victims and Latin America remains the region most affected.,2021,
37,levels,"To limit warming to 1.5° Celsius above pre-industrial levels, as set out in the Paris Agreement, global greenhouse gas emissions will need to peak before 2025.",2022,
38,economic,"Oceans, seas and other marine resources are essential to human well-being and social and economic development worldwide.",2016,
38,LDCs,"Progress is expected to accelerate with support from the Green Climate Fund, which is mandated to provide expedited support to LDCs and other developing countries in the formulation and implementation of NAPs.",2017,
38,health,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018,yes
38,change,"As greenhouse gas levels continue to climb, climate change is occurring much faster than anticipated, and its effects are evident worldwide.",2019,
38,2000,"The global rate of intentional homicides has declined slowly – from 6.8 per 100,000 population in 2000 to 5.9 in 2015 and 5.8 in 2018.",2020,
38,Sub-Saharan,"A 10 per cent disruption in access to effective treatment in sub-Saharan Africa could lead to 19,000 additional deaths.",2021,
38,energy,"The global annual mean temperature is projected to rise beyond 1.5 °C above pre-industrial levels in at least one of the next five years, edging precipitously closer to the lower target of the Paris Agreement.In 2020, social and economic disruptions caused by COVID-19 lowered energy demand around the world.",2022,
39,number,A number of regions have enjoyed increased and sustained levels of peace and security in recent decades.,2016,
39,energy,"In 45 countries with available data, 43 of which are in developing regions, just over half (52 per cent) of women aged 15 to 49 years who are married or in union make their own informed decisions about sexual relations and the use of contraceptives and health services.Sustained and inclusive economic growth drives development by providing more resources for education, health, personal consumption, and transport, water and energy infrastructure.",2017,
39,policies,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018,
39,America,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019,
39,due,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020,
39,2010,"To meet these goals, global carbon dioxide emissions need to be reduced by 45 per cent by 2030 from 2010 levels, and reach net-zero emissions by 2050.",2021,
39,2022,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022,
40,data,"However, significant challenges remain, including lack of data on various forms of violence against children and other vulnerable groups, access to justice and public access to information.",2016,
40,services,Birth registration is a first step towards safeguarding individual rights and providing every person with access to justice and social services.,2017,
40,some,Regional trend data show that the extent of surface water increased in some regions from 2001 to 2015.,2018,
40,globally,"In 2016, adult women comprised nearly half of the detected victims globally, and girls accounted for about 23 per cent.",2019,
40,sustainable," Conflict, insecurity, weak institutions and limited access to justice remain threats to sustainable development.",2020,
40,systems,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021,
40,human,"The cost of war and conflict is high, affecting the poor and vulnerable the most and leading to global impacts and escalating human rights violations and humanitarian needs.",2022,yes
41,year,"Globally, the share of girls and boys among victims of human trafficking peaked in 2011, at 21 per cent and 13 per cent, respectively, of cases detected by authorities that year.",2016,
41,national,"While trafficking affects all regions, many transnational flows involve the movement of victims from lowerto higher-income countries.",2017,
41,resources,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018,
41,central,"Substandard working conditions are the main issue, underscoring the central role that decent and productive employment plays in helping people escape poverty.",2019,
41,areas,"One in four children continues to be deprived of legal identity through lack of birth registration, often limiting their ability to exercise rights in other areas.",2020,
41,risk,"The pandemic is disproportionately affecting the most vulnerable worldwide, with children at high risk.",2021,
41,poverty,Almost all small-scale fishers (97 per cent) live in developing countries and many face high levels of poverty and lack broader social and economic development opportunities.,2022,
42,health,"The top three priority areas were water, agriculture and health, which coincide with the top climate hazards that Parties identified – floods, drought and higher temperatures.",2016,yes
42,Europe,Compliance was higher than the global average in Europe and Northern America at 46 per cent.,2017,
42,levels,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018,
42,levels,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019,
42,year,"This translates to an average of 11.9 civilian deaths per 100,000 population each year; one in eight of those deaths was a woman or child.",2020,
42,globally,"Despite this high toll, the annual number of civilian deaths globally actually decreased by 61 per cent over this period.",2021,
42,national,"Many of these conflict situations are fragile, with a growing risk of escalation and associated violations of international human rights and international humanitarian law.",2022,
43,2013,"While the numbers of people affected varies greatly from year to year, an average of 83,000 people died and 211 million were affected annually as a result of natural disasters occurring from 2000 to 2013.",2016,
43,risk,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017,
43,three,"The majority of those living in slums are located in three regions: Eastern and South-Eastern Asia (332 million), Central and Southern Asia (197 million) and sub-Saharan Africa (189 million).",2018,
43,higher,"For intimate partner homicides only, the share of female victims was even higher at 82 per cent.",2019,
43,America,Two thirds of homicide victims live in sub-Saharan Africa (36 per cent) and Latin America and the Caribbean (33 per cent).,2020,
43,income,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021,
43,America,"However, stark differences are found among regions, with Latin America and the Caribbean reporting the lowest level of perceived public safety and Eastern and South-Eastern Asia reporting the highest.",2022,
44,2010,"Marine resources are particularly important for people living in coastal communities, who represented 37 per cent of the world population in 2010.",2016,
44,three,"Implementing realistic budgets is particularly challenging in sub-Saharan Africa, where more than three quarters of countries were more than 5 per cent off, and about 40 per cent of countries experienced a deterioration in the reliability of their budget execution estimates.",2017,
44,key,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018,
44,number,"In 2018, the number of people fleeing war, persecution and conflict exceeded 70 million, the highest level that the United Nations High Commissioner for Refugees has seen in almost 70 years.",2019,
44,levels,"Trends suggest that lockdown measures have hardly affected violence in Latin American countries with high levels of homicides, but the intense lockdown measures in European countries with low levels of homicide seem to have drastically reduced violence.",2020,
44,2015,"At least 176,095 civilian deaths were recorded in 12 of the world’s deadliest armed conflicts between 2015 and 2020.",2021,
44,LDCs,"Eastern and South-Eastern Asia and LDCs have the highest bribery incidence – affecting about 30 per cent of businesses, whereas the regions of Latin America and the Caribbean and Europe and Northern America have the lowest bribery incidence – 9 per cent and 8 per cent, respectively.",2022,
45,food,"Fisheries contribute significantly to global food security, livelihoods and the economy.",2016,
45,international,"By the end of 2016, 57 per cent of countries had an NHRI that had been reviewed for compliance with internationally agreed standards (the Paris Principles) by their peers and 37 per cent of countries were found to be compliant.",2017,
45,services,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018,
45,2030,"If growth continues at the same rate, by 2030 only around half of all countries will have compliant NHRIs to ensure that States deliver on their human rights obligations.",2019,
45,risk,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020,
45,reported,"Throughout 2020, the United Nations has consistently called for a global ceasefire to protect civilians from the deadly combination of armed conflict and COVID-19.Since 2015, the killings of human rights defenders, journalists and trade unionists have been reported in over one third of Member States.",2021,
45,coverage,The global coverage of MPAs stood at 8 per cent  of global coastal waters and oceans in 2021.,2022,
46,us,"Central to the 2030 Agenda for Sustainable Development is the need to promote peaceful and inclusive societies based on respect for human rights, the rule of law and transparent, effective and accountable institutions.",2016,
46,us,"Progress in promoting peace and justice, and in building effective, accountable and inclusive institutions remains uneven across and within regions.",2017,
46,management,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018,
46,food,They make up the planet’s largest ecosystem— covering more than two thirds of the Earth’s surface— and provide billions of people with food and livelihoods.,2019,
46,school,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020,
46,social,Urgently expanding income support and social protection coverage could help offset this rise.,2021,
46,share,"Recent designations of MPAs will raise this share, edging closer to the 10 per cent called for in the SDG and Aichi Biodiversity target.",2022,
47,dollars,"This includes social protection benefits for the poor and most vulnerable and ensuring that people harmed by conflict and natural hazards receive adequate support, including access to basic services.The international poverty line is currently defined as 1.90 US dollars per person per day using 2011 purchasing power parity (PPP).",2016,
47,dollars,"Social protection systems need to be expanded and risks mitigated for disaster-prone countries, which tend to be among the world’s poorest countries.The international poverty line is currently defined as 1.90 US dollars per person per day using 2011 purchasing power parity (PPP).",2017,
47,level,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018,
47,income,"The nowcast shows the 2018 rate of extreme poverty at 8.6 per cent, and baseline projections suggest that 6 per cent of the world’s population will still be living in extreme poverty in 2030, if current trends continue.Extreme poverty remains stubbornly high in low-income countries and countries affected by conflict and political upheaval, particularly in sub-Saharan Africa.",2019,
47,regions,"Significant increases over the past three years were recorded in all regions of Asia and in Oceania.Prison overcrowding remains a serious problem in many countries, often leading to inhumane conditions, the violation of human rights, violence among prisoners and reduced prospects for rehabilitation.",2020,
47,some,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021,
47,globally,"That said, systematic implementation of tracing remains a challenge globally.",2022,
48,deaths,"Between 1990 and 2015, the global maternal mortality ratio declined by 44 per cent to an estimated 216 deaths per 100,000 live births, falling short of the MDGs and far from the target of 70 maternal deaths per 100,000 live births established in the 2030 Agenda.",2016,
48,some,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017,
48,developed,Only 27 per cent of the population in least developed countries had basic handwashing facilities.,2018,
48,level,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019,
48,target,"Across all regions, people defending the human rights and fundamental freedoms of others are the targets of violent attacks.",2020,
48,efforts,"The reduction in civilian deaths at the global level is attributable to some of the deadliest conflicts becoming less lethal, along with collective efforts to enhance the protection of civilians.",2021,
48,level,"This indicates the importance of cooperative practices at the international level, though they are not yet sufficient.",2022,
49,education,Goal 4 aims to ensure that all people have access to quality education and lifelong learning opportunities.,2016,
49,2010,"While some regions have reached universal or near-universal birth registration, globally the average is just 71 per cent, based on available data reported for 147 countries from 2010 to 2016 and covering 80 per cent of the world’s population of children under age 5.",2017,
49,living,"Globally, people living in fragile states are twice as likely to lack basic sanitation and about four times as likely to lack basic drinking water services as populations in non-fragile situations, with significant differences observed across all regions.",2018,
49,social,"Birth registration is fundamental to helping people access their individual rights, such as basic social services and legal justice.",2019,
49,developing,"Meanwhile, the emissions of developing countries are up by 43.2 per cent from 2000 to 2013.",2020,
49,areas,They have played a critical role during the pandemic by examining and monitoring impacts on health and other areas and by highlighting the human rights implications of the crisis.,2021,
49,regions,"However, stark differences are found among regions, with Latin America and the Caribbean reporting the lowest level of perceived public safety and Eastern and South-Eastern Asia reporting the highest.",2022,
50,girls,"Globally, the share of girls and boys among victims of human trafficking peaked in 2011, at 21 per cent and 13 per cent, respectively, of cases detected by authorities that year.",2016,
50,climate,Concerted action is urgently needed to stem climate change and strengthen resilience to pervasive and ever-increasing climate-related hazards.,2017,yes
50,economic,"Implementation of integrated water resources management (IWRM) supports the use of water in a way that balances the social, economic and environmental dimensions of sustainable development.",2018,
50,worldwide,"Yet, less than three quarters (73 per cent) of children under 5 years of age worldwide have had their births registered, according to data from 161 countries over the period 2010 to 2018.",2019,
50,income,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020,
50,years,"It was one of the three warmest years on record, with the global average temperature about 1.2°C above the 1850–1900 baseline.",2021,
50,biodiversity,"Even before the full fury of climate change has been unleashed, biodiversity loss is accelerating.",2022,
51,three,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016,
51,economic,"The NDCs show that governments are integrating climate action into socio-economic development strategies, since both are integral to sustainable development.",2017,
51,share,An additional 29 per cent of the global population used a basic sanitation service—an improved facility that is not shared.,2018,
51,developed,Many local governments had developed local strategies in line with national strategies.,2019,
51,years,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020,
51,poverty,"Oceans contribute to poverty eradication, sustained economic growth and food security.",2021,
51,recovery,"Girls whose mothers have a primary education are 40 per cent less likely to be cut than those whose mothers have no education.During the pandemic, women leaders have acted decisively and effectively to implement and manage response and recovery efforts, prioritizing measures that address the most vulnerable groups.",2022,
52,Southern,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016,
52,marine,"Oceans also provide priceless environmental services: they generate half the oxygen we breathe, support a wealth of marine resources and act as a climate regulator.",2017,
52,period,"To reach the SDG target, global energy intensity needs to improve at an annual rate of 2.7 per cent over the period 2016–2030, requiring sustained momentum and the systematic adoption of energy efficiency policies in countries that are falling behind.",2018,
52,deaths,More than 90 per cent of internationally reported deaths due to disaster occur in low- and middle-income countries.,2019,
52,compared,"In 2020, close to 75 per cent scored high in their degree of implementation of relevant international instruments, compared with 70 per cent in 2018.",2020,
52,species,A recent example from the South Atlantic used satellite tracking data for 14 species of seabirds and seals to pinpoint breeding grounds and feeding sites crucial to the preservation of these and other species.,2021,
52,estimated,"An estimated 41 per cent of people forcibly displaced worldwide were children, according to 2021 data.",2022,
53,LDCs,"In the LDCs, one in two children have not been registered by their fifth birthdays.",2016,
53,girls,"Globally, more women and girls than men and boys were identified as victims of trafficking in 2014.",2017,
53,air,"In 2016, some 2.8 billion people still used solid fuels with inefficient stoves, leading to high levels of household air pollution.",2018,
53,GDP,"Economic losses resulting from disasters are also much higher in poorer countries, when measured as a percentage of their gross domestic product (GDP).",2019,
53,level,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020,
53,men,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021,
53,crisis,"For example, the outbreak of war in Ukraine has caused food, fuel and fertilizer prices to skyrocket, disrupted supply chains and global trade and roiled financial markets, potentially leading to a global food crisis.",2022,
54,living,"Globally, children living in urban areas are around 1.5 times more likely to be registered than their rural counterparts.",2016,
54,Southern,"In contrast, the highest proportion of unsentenced detainees remains in Central and Southern Asia, where over 60 per cent of the total prison population are being detained without a trial.",2017,
54,material,"The ""material footprint"" of an economy refers to the total amount of raw materials extracted globally—across the entire supply chain—to meet that economy's final consumption demand.",2018,
54,world,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019,
54,worldwide,"This translates to approximately 440,000 homicide victims worldwide (81 per cent male and 19 per cent female) each year.",2020,
54,worldwide,"The pandemic is disproportionately affecting the most vulnerable worldwide, with children at high risk.",2021,
54,2030,"By 2030, it is projected that the global homicide rate will decrease by 19 per cent from the 2015 level, to around 4.8 per 100,000 people.",2022,
55,urban,"Globally, children living in urban areas are around 1.5 times more likely to be registered than their rural counterparts.",2016,
55,proportion,"And while the share of victims trafficked for sexual exploitation has also fallen, the proportion of those trafficked for forced labour has increased.",2017,
55,2030,"However, faster progress will be needed to end the practice by 2030.",2018,
55,energy,"That will require rapid and far-reaching transitions in energy, land and urban infrastructure and industrial systems.",2019,
55,some,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020,
55,human,"Recovery from the crisis and sustainable development must be built on a foundation of peace, stability, respect for human rights, effective governance and the rule of law.",2021,yes
55,school,"The pandemic has added to the mental health issues facing children and young people, since many of them are still experiencing school closures, disruption of daily routines, stress over food insecurity and loss of family income, and uncertainty about the future.",2022,
56,risk,"With the rise in natural disasters, countries have begun implementing national and local disaster risk reduction strategies.",2016,
56,change,"Globally, the proportion of people held in detention without being tried or sentenced for a crime has remained almost unchanged—from 32 per cent of total prisoners in 2003-2005 to 31 per cent in 2013-2015.",2017,
56,covered,"In 2017, based on data from 62 out of 153 countries sharing transboundary waters, the average percentage of national transboundary basin area covered by an operational arrangement was 59 per cent.",2018,
56,LDCs,"Access to finance and the strengthening of resilience and adaptive capacity need to be scaled up at a much faster pace, particularly among LDCs and small island developing States.In 2017, atmospheric CO2 concentrations reached 405.5 parts per million (ppm) (up from 400.1 ppm in 2015), representing 146 per cent of pre‑industrial levels.",2019,
56,public,The right to information held by public authorities is an integral aspect of freedom of expression and serves as a mechanism to support government openness and accountability as well as enhanced empowerment and equality among all social groups.,2020,
56,public,"Corruption is antithetical to sustainable development, aggravating income inequality, reducing domestic and foreign investment, and significantly lowering the quality of public sector services.",2021,
56,Ukraine,This staggering number will increase along with the widening repercussions of the war in Ukraine.,2022,yes
57,resources,"Oceans, seas and other marine resources are essential to human well-being and social and economic development worldwide.",2016,
57,poverty,"Disaster mortality reflects not only exposure to hazards, but also a confluence of other vulnerability factors, such as poor urban management, environmental degradation, lack of disaster preparedness, and poverty and inequality.",2017,
57,America,High levels of cooperation exist across Europe and Northern America and for many major river and lake basins in sub-Saharan Africa.,2018,
57,policy,The biggest challenges are investment in disaster risk reduction for resilience and promoting policy coherence between the SDGs and climate change.,2019,
57,world’s,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020,
57,new,"Progress has stalled in most regions, where no new independent NHRIs have been recognized or established since 2018.",2021,
57,education,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022,
58,capita,"Since the late 1990s, aid to agriculture in developing countries has languished at around 8 per cent of the total, down from a high of 20 per cent in the mid-1980s, when donors began focusing more on improving governance, building social capital and bolstering fragile States.",2016,
58,Zealand,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017,
58,support,"Implementation of integrated water resources management (IWRM) supports the use of water in a way that balances the social, economic and environmental dimensions of sustainable development.",2018,
58,gender,"Recent successes in reducing the number of children out of school and reducing the gender gap in the out-of-school rate need to be replicated worldwide to ensure all children, everywhere, are attending school.",2019,
58,climate,The climate crisis continues unabated as the global community shies away from the full commitment required for its reversal.,2020,yes
58,climate,"An aerial view of disappearing ice at the summit of Mount Kilimanjaro in the United Republic of Tanzania.Despite a pandemic-related economic slowdown, the climate crisis continues largely unabated.",2021,yes
58,target,"This falls short of the ""significant reduction"" by 2030 targeted in the Sustainable Development Goals.",2022,
59,2030,"Central to the 2030 Agenda for Sustainable Development is the need to promote peaceful and inclusive societies based on respect for human rights, the rule of law and transparent, effective and accountable institutions.",2016,
59,estimated,"By 2050, however, it is estimated that coastal eutrophication will increase in 21 per cent of these large ecosystems.",2017,
59,electricity,Access to electricity is outpacing population growth in many countries.,2018,
59,use,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019,
59,LDCs,"Eighteen countries, including five LDCs and four small island developing States, have completed and submitted their NAPs to the United Nations Framework Convention on Climate Change Secretariat, while many others are at various stages in the process.Funding for the formulation of NAPs is provided by the Green Climate Fund, through its Readiness and Preparatory Support Programme, and by the Least Developed Countries Fund.",2020,
59,basic,"Moreover, to design effective pandemic policy interventions, Governments will need to improve and strengthen basic demographic and epidemiological data collection.As of June 2021, total reported deaths from COVID-19 reached 3.7 million globally.",2021,
59,years,"In 2021, the global mean temperature was about 1.11 ± 0.13 °C above the pre-industrial level (from 1850 to 1900), making it one of the seven warmest years on record (2015 to 2021).While variations in global temperatures from year on year are to be expected, the long-term trend is a warming climate.",2022,
60,violence,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016,
60,education,Quality education and lifelong learning opportunities for all are central to ensuring a full and productive life to all individuals and to the realization of sustainable development.,2017,
60,needed,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018,
60,efforts,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019,
60,systems,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020,
60,number,"At the start of 2020, the number of children engaged in child labour (not including its worst forms, such as children in bonded and forced labour or in commercial sexual exploitation) totalled 160 million (63 million girls and 97 million boys).",2021,
60,social,"This translates into melting ice caps and glaciers, intense heat and rainfall as well as sea-level rise and other potentially cataclysmic events, with adverse social and economic consequences.",2022,
61,international,"Efforts are under way to make national and international institutions more effective, inclusive and transparent.",2016,
61,Australia,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017,
61,need,"The challenges of meeting future water needs in a sustainable manner are daunting, but they can be overcome.",2018,
61,compared,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019,
61,needed,"To significantly reduce all forms of violence, stronger efforts are needed to cut the global homicide rate.",2020,
61,electricity,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021,
61,Sub-Saharan,"Sub-Saharan Africa remains the region with the highest under-5 mortality rate in the world at 74 deaths per 1,000 live births in 2020.",2022,
62,estimated,"Worldwide, the number of victims of intentional homicide per 100,000 people was estimated at between 4.6 and 6.8 in 2014.",2016,
62,social,Birth registration is a first step towards safeguarding individual rights and providing every person with access to justice and social services.,2017,
