rank,word,text,year
33,resources,"The resulting adverse effects of ocean acidification, climate change (including sea-level rise), extreme weather events and coastal erosion exacerbate ongoing threats to marine and coastal resources from overfishing, pollution and habitat degradation.",2019
33,many,"Significant increases over the past three years were recorded in all regions of Asia and in Oceania.Prison overcrowding remains a serious problem in many countries, often leading to inhumane conditions, the violation of human rights, violence among prisoners and reduced prospects for rehabilitation.",2020
33,crisis,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
33,only,"Globally, almost 1 in 6 businesses face requests for bribe payments by public officials, most commonly in transactions involving electrical and water connections, construction-related permits, import licenses, operating licenses, and meetings with tax officials.",2022
34,proportion,Survey data from 31 low- and middle-income countries suggest that the proportion of women aged 18 to 29 years who experienced sexual violence for the first time before age 18 may be as high as 16 per cent.,2016
34,America,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017
34,oda,"In 2016, 26 countries experienced high or moderately high levels of general food prices, which may have negatively affected food security.Many more people today are living healthier lives than in the past decade.",2018
34,2000,"The number of homicide victims increased by 11 per cent, from 419,000 in 2000 to 464,000 in 2017.",2019
34,increase,"However, the number of convictions has recently started to increase in response to improvements in detection.Sexual violence, one of the most disturbing violations of children’s rights, is widely underreported.",2020
34,share,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021
34,services,"Declining ecosystems and biodiversity loss will affect nature-based services, threatening human health and our very survival.",2022
35,water,"The top three priority areas were water, agriculture and health, which coincide with the top climate hazards that Parties identified – floods, drought and higher temperatures.",2016
35,deaths,"The highest number of deaths (32) in 2016 occurred in the Arab States region, home to several armed conflicts.",2017
35,urban,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018
35,only,"For intimate partner homicides only, the share of female victims was even higher at 82 per cent.",2019
35,these,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020
35,world,"The world is still a long way from achieving the goal of peaceful, just and inclusive societies.",2021
35,development,"Ending armed conflicts, strengthening institutions and enacting inclusive and equitable legislation that protects the human rights of all persons are necessary preconditions for sustainable development.The United Nations recorded at least 13,842 deaths associated with 12 of the world's deadliest armed conflicts in 2021.",2022
36,including,"However, significant challenges remain, including lack of data on various forms of violence against children and other vulnerable groups, access to justice and public access to information.",2016
36,billion,Fisheries are a source of food and livelihoods for billions of people around the globe.,2017
36,only,"Europe and Northern America have almost 4 per cent of their total land covered by freshwater bodies, while coverage in least developed countries and small island developing States is only around 1 per cent.",2018
36,many,"Expert assessments, however, suggest that in many cases, the legal framework could be improved.",2019
36,however,"Globally, water stress remains at a safe 17 per cent; however, this overall value masks huge regional variations.",2020
36,population,"At the end of 2020, about 1 per cent of the global population – 82.4 million people – had been forcibly displaced as a result of persecution, conflict or generalized violence.",2021
36,however,"This critical service, however, comes at a price: it is altering the carbonate system and increasing the acidity of the ocean.",2022
37,only,"Worldwide, the proportion of people held in detention without being sentenced for a crime decreased only slightly over the last decade—from 32 per cent of total detainees in 2003-2005 to 30 per cent in 2012-2014.",2016
37,while,"Since 2005, homicide rates have actually increased in a number of countries with high levels of income inequality, even while overall trends continued downward.",2017
37,least,Only 27 per cent of the population in least developed countries had basic handwashing facilities.,2018
37,2015,"Every week, an average of nine people were murdered on the front lines of efforts to build more inclusive and equal societies—a disturbing increase from the average of one victim per day from 2015 to 2017.",2019
37,2010,"The year 2019 was the second warmest on record and the end of the warmest decade (2010–2019), bringing with it massive wildfires, hurricanes, droughts, floods and other climate disasters across continents.",2020
37,half,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021
37,Asia,"However, stark differences are found among regions, with Latin America and the Caribbean reporting the lowest level of perceived public safety and Eastern and South-Eastern Asia reporting the highest.",2022
38,Sub-Saharan,"Sub-Saharan Africa accounted for 89 per cent of all malaria cases worldwide, with an incidence rate of 235 per 1,000 people at risk.",2016
38,average,"Moreover, in 2015, these countries had, on average, a homicide rate that was nine times greater than countries where income was more evenly distributed.",2017
38,between,"While total official development assistance (ODA) committed and disbursed across all sectors steadily increased between 2012 and 2016, the share of ODA commitments to waterrelated activities declined.",2018
38,between,The biggest challenges are investment in disaster risk reduction for resilience and promoting policy coherence between the SDGs and climate change.,2019
38,between,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
38,developing,"Developed countries saw the steepest declines, averaging drops of almost 10 per cent, while emissions from developing countries fell by 4 per cent relative to 2019.",2021
38,water,"Globally, almost 1 in 6 businesses face requests for bribe payments by public officials, most commonly in transactions involving electrical and water connections, construction-related permits, import licenses, operating licenses, and meetings with tax officials.",2022
39,energy,"As countries shift to less energy-intensive industries, cleaner fuels and technologies, and stronger energy efficiency policies, almost all regions have shown a reduction in the carbon intensity of their GDP.",2016
39,2014,"More than 570 different trafficking flows, which criss-cross the globe, were identified by law enforcement officers between 2012 and 2014.",2017
39,among,"This reliance on transboundary waters creates interdependencies among countries on political, environmental, economic and security issues, and makes cooperation a necessity.",2018
39,other,Conflict and other forms of violence are an affront to sustainable development.,2019
39,share,"The share of sustainable fisheries in the GDP of these groups of countries averaged 1.55 per cent and 1.11 per cent, respectively, for the period 2011–2017.",2020
39,compared,"One in three LDCs now have an internationally compliant NHRI, compared with one in five in 2015.",2021
39,climate,"The world is on the brink of a climate catastrophe, and the window to avert it is closing rapidly.",2022
40,between,"Worldwide, the number of victims of intentional homicide per 100,000 people was estimated at between 4.6 and 6.8 in 2014.",2016
40,worldwide,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017
40,Asia,"Preliminary estimates from household data in 79 mostly high- and high-middle-income countries (excluding much of Africa and Asia) show that, in 22 countries, less than 50 per cent of all household wastewater flows are safely treated.",2018
40,developing,"Access to finance and the strengthening of resilience and adaptive capacity need to be scaled up at a much faster pace, particularly among LDCs and small island developing States.In 2017, atmospheric CO2 concentrations reached 405.5 parts per million (ppm) (up from 400.1 ppm in 2015), representing 146 per cent of pre‑industrial levels.",2019
40,2030,"If 2015–2018 trends continue, the rate per 100,000 population would stand at around 5.2 in 2030, an overall decrease of about 12 per cent.",2020
40,food,"The highest-priority areas for adaptation identified in the NDCs are: food security and production, terrestrial and wetland ecosystems, freshwater resources, human health, and key economic sectors and services.",2021
40,developing,"Consequently, energy-related CO2 emissions for 2021 rose by 6 per cent, reaching their highest level ever and completely wiping out the pandemic-related reduction seen in 2020.Developed countries have jointly committed to mobilizing $100 billion dollars per year by 2020, further extended to 2025, for climate action in developing countries.",2022
41,average,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016
41,Northern,"Northern Africa and Western Asia, which had one of the highest proportions of unsentenced detainees a decade ago, has made the most progress.",2017
41,use,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018
41,increase,"The number of homicide victims increased by 11 per cent, from 419,000 in 2000 to 464,000 in 2017.",2019
41,increased,"The rise is largely attributable to increased industrialization and enhanced economic output measured in terms of GDP.As of 31 March 2020, 189 parties had ratified the Paris Agreement, and 186 parties (185 countries plus the European Union) had communicated their first nationally determined contributions to the United Nations Framework Convention on Climate Change Secretariat.",2020
41,sustainable,"Recovery from the crisis and sustainable development must be built on a foundation of peace, stability, respect for human rights, effective governance and the rule of law.",2021
41,population," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
42,GDP,The agriculture orientation index (AOI) — the agriculture share of government expenditures divided by the agriculture share of GDP —fell from 0.37 to 0.33 between 2001 and 2013 in developing countries.,2016
42,health,"Reducing risks associated with natural hazards requires a comprehensive approach that prevents new risk, minimizes existing risk, and strengthens economic, social, health and environmental resilience.",2017
42,increase,"For the remaining eight countries, open defecation rates have actually increased since 2000.",2018
42,services,"Birth registration is fundamental to helping people access their individual rights, such as basic social services and legal justice.",2019
42,workers,"Southern Asia and sub-Saharan Africa are expected to see the largest increases in extreme poverty, with an additional 32 million and 26 million people, respectively, living below the international poverty line as a result of the pandemic.The share of the world’s workers living in extreme poverty fell by half over the last decade: from 14.3 per cent in 2010 to 7.1 per cent in 2019.",2020
42,not,"At the start of 2020, the number of children engaged in child labour (not including its worst forms, such as children in bonded and forced labour or in commercial sexual exploitation) totalled 160 million (63 million girls and 97 million boys).",2021
42,Africa,This gender gap holds across all regions but is particularly pronounced in Australia and New Zealand (a 27-percentage-point difference) and Northern Africa and Western Asia (a 17-percentage-point difference).,2022
43,still,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016
43,urban,"Disaster mortality reflects not only exposure to hazards, but also a confluence of other vulnerability factors, such as poor urban management, environmental degradation, lack of disaster preparedness, and poverty and inequality.",2017
43,one,This was the first time since 1990 that the absolute number of people living without electricity dipped below the symbolic threshold of one billion.,2018
43,data,"Yet, less than three quarters (73 per cent) of children under 5 years of age worldwide have had their births registered, according to data from 161 countries over the period 2010 to 2018.",2019
43,since,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020
43,development,"Recovery from the crisis and sustainable development must be built on a foundation of peace, stability, respect for human rights, effective governance and the rule of law.",2021
43,areas,The IPCC projects that about one third of global land areas will suffer at least moderate drought by 2100.,2022
44,national,"Efforts are under way to make national and international institutions more effective, inclusive and transparent.",2016
44,age,"Moreover, in 2015, these countries had, on average, a homicide rate that was nine times greater than countries where income was more evenly distributed.",2017
44,forest,"A growing number of forest areas are being sustainably managed, integrating policies and practices that protect forest ecosystems and address drivers of degradation.",2018
44,total,"Journalists and bloggers constituted one quarter of the total number of victims killed, and most of these murders occurred outside of countries experiencing conflict.",2019
44,crisis,The climate crisis continues unabated as the global community shies away from the full commitment required for its reversal.,2020
44,support,Urgently expanding income support and social protection coverage could help offset this rise.,2021
44,access,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022
45,worldwide,"However, the births of more than one in four children under age 5 worldwide go unrecorded.",2016
45,sustainable,"It also signals the commitment of nations to take action for the climate and sustainable development, translating the goals of the Paris Agreement into actionable strategies and shifting global financial flows onto lowcarbon, climate-resilient pathways.",2017
45,other,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
45,areas,Protected areas and policies and treaties that encourage responsible extraction of ocean resources are critical to confronting these threats.,2019
45,national,"Under international law, civilians are to be protected in armed conflicts.",2020
45,national,"It is associated with rampant violations of human rights and international humanitarian law, including against children.",2021
45,year,"In 2021, the global mean temperature was about 1.11 ± 0.13 °C above the pre-industrial level (from 1850 to 1900), making it one of the seven warmest years on record (2015 to 2021).While variations in global temperatures from year on year are to be expected, the long-term trend is a warming climate.",2022
46,social,Registering children at birth is the first step in securing recognition before the law and safeguarding individual rights and access to justice and social services.,2016
46,levels,Disparities abound: data show that countries with higher income inequality suffer from higher levels of violence.,2017
46,globally,"The ""material footprint"" of an economy refers to the total amount of raw materials extracted globally—across the entire supply chain—to meet that economy's final consumption demand.",2018
46,among,"Much work has been done recently to improve civil registration systems and to raise awareness among citizens, but continued efforts are needed to ensure that all children can claim their right to an identity.",2019
46,one,"This translates to an average of 11.9 civilian deaths per 100,000 population each year; one in eight of those deaths was a woman or child.",2020
46,energy,"As of April 2020, 120 countries reported that they had developed and adopted national and/or local disaster risk reduction strategies, up from 48 during the Sendai Framework’s nascent period in 2015.Students in the Lao People’s Democratic Republic get at least one third of their daily energy and nutrition needs filled through a national school feeding programme.",2021
46,one," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
47,2012,"Worldwide, the proportion of people held in detention without being sentenced for a crime decreased only slightly over the last decade—from 32 per cent of total detainees in 2003-2005 to 30 per cent in 2012-2014.",2016
47,can,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017
47,proportion,"Between 2000 and 2015, the proportion of the global population practising open defecation declined from 20 per cent to 12 per cent.",2018
47,climate,"As greenhouse gas levels continue to climb, climate change is occurring much faster than anticipated, and its effects are evident worldwide.",2019
47,2015,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
47,around,"Millions of children around the globe face different forms of exploitation, including trafficking and child labour.",2021
47,2015,"Though unacceptably high, the number of civilian conflict-related deaths dropped by 17 per cent compared to 2020, and by 69 per cent compared to 2015.",2022
48,other,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016
48,world,"Homicides are slowly declining, and more citizens around the world have better access to justice.",2017
48,total,"In 22 countries (mostly in Northern Africa and Western Asia and in Central and Southern Asia), water stress—defined as the ratio of freshwater withdrawn to total renewable freshwater resources—is above 70 per cent.",2018
48,will,"Unless Member States live up to their international obligation to protect those who stand up for the fundamental rights and freedoms of others, human rights defenders, journalists and trade unionists will continue to be targets of assassination in countries around the world.",2019
48,world,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
48,increase,Previous economic crises suggest that the sharp increase in adult unemployment rates and an asymmetric global recovery from COVID-19 is likely to increase the risk of trafficking.,2021
48,growth,"Marine protected areas (MPAs) and other effective, area-based measures to conserve biodiversity – including marine sanctuaries, parks and reserves – have seen substantial growth over the last decade.",2022
49,age,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016
49,years,"However, violent conflicts have increased in recent years, and a number of high-intensity armed conflicts are causing large numbers of civilian casualties and driving millions of people from their homes.",2017
49,average,"In 2017, 157 countries reported average IWRM implementation of 48 per cent, with scores ranging from 10 per cent to 100 per cent.",2018
49,since,"Binding laws and policies giving individuals the right to access information held by public authorities have been adopted by 125 countries, with at least 31 countries adopting such laws since 2013.",2019
49,deaths,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
49,will,Addressing corruption will support a more inclusive recovery based on integrity and accountability.,2021
49,sustainable,"Ending armed conflicts, strengthening institutions and enacting inclusive and equitable legislation that protects the human rights of all persons are necessary preconditions for sustainable development.The United Nations recorded at least 13,842 deaths associated with 12 of the world's deadliest armed conflicts in 2021.",2022
50,one,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016
50,many,"In recent years, four to five times as many males as females were murdered annually.",2017
50,2010,"Global energy intensity—the ratio of energy used per unit of GDP—decreased by 2.8 per cent in 2015, faster than in any year since 1990 and double the rate of improvement between 1990 and 2010.",2018
50,sustainable,Conflict and other forms of violence are an affront to sustainable development.,2019
50,globally,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020
50,2018,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021
50,income,"Since it was established, Mr. Ayamisebahe says that fish stocks are thriving and incomes rising.",2022
51,not,"In the LDCs, one in two children have not been registered by their fifth birthdays.",2016
51,share,"However, the share of women and girls slowly declined, from 84 per cent in 2004 to 71 per cent in 2014.",2017
51,women,The role of women’s participation is increasingly important as a measure of equity.,2018
51,age,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019
51,half,"From 2015 to 2019, the United Nations recorded at least 1,940 killings and 106 enforced disappearances of human rights defenders, journalists and trade unionists across 81 countries, with over half of killings occurring in Latin America and the Caribbean.",2020
51,many,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021
51,worldwide,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022
52,goal,"Halving the number of global deaths and injuries from road traffic accidents by 2020 is an ambitious goal given the dramatic increase in the number of vehicles, which nearly doubled between 2000 and 2013.",2016
52,LDCs,"Progress is expected to accelerate with support from the Green Climate Fund, which is mandated to provide expedited support to LDCs and other developing countries in the formulation and implementation of NAPs.",2017
52,LDCs,Bilateral ODA from DAC countries to LDCs increased by 4.0 per cent in real terms since 2016.,2018
52,still," Realizing the goal of peaceful, just and inclusive societies is still a long way off.",2019
52,poverty,"Managing fish stocks sustainably is crucial to harnessing the benefits of fisheries and aquaculture to alleviate poverty, hunger and malnutrition, and to generate economic growth.",2020
52,three,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021
52,risk,"Many of these conflict situations are fragile, with a growing risk of escalation and associated violations of international human rights and international humanitarian law.",2022
53,marine,"Oceans, seas and other marine resources are essential to human well-being and social and economic development worldwide.",2016
53,energy,"In 45 countries with available data, 43 of which are in developing regions, just over half (52 per cent) of women aged 15 to 49 years who are married or in union make their own informed decisions about sexual relations and the use of contraceptives and health services.Sustained and inclusive economic growth drives development by providing more resources for education, health, personal consumption, and transport, water and energy infrastructure.",2017
53,sanitation,Safe drinking water and sanitation are basic human rights.,2018
53,development,"Millions of people have been deprived of their security, rights and opportunities, while attacks on human rights activists and journalists are holding back development.",2019
53,development," Conflict, insecurity, weak institutions and limited access to justice remain threats to sustainable development.",2020
53,deaths,"Armed conflict results in civilian deaths, injury and trauma, displacement and damaged essential infrastructure, including health care.",2021
53,levels,"To limit warming to 1.5° Celsius above pre-industrial levels, as set out in the Paris Agreement, global greenhouse gas emissions will need to peak before 2025.",2022
54,economic,"Oceans, seas and other marine resources are essential to human well-being and social and economic development worldwide.",2016
54,half,"In all but seven of these countries, more than half of children experienced some form of psychological aggression and/or physical punishment at home.",2017
54,health,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018
54,half,"In 2016, adult women comprised nearly half of the detected victims globally, and girls accounted for about 23 per cent.",2019
54,2000,"The global rate of intentional homicides has declined slowly – from 6.8 per 100,000 population in 2000 to 5.9 in 2015 and 5.8 in 2018.",2020
54,America,Women comprised 13 per cent of the victims and Latin America remains the region most affected.,2021
54,energy,"The global annual mean temperature is projected to rise beyond 1.5 °C above pre-industrial levels in at least one of the next five years, edging precipitously closer to the lower target of the Paris Agreement.In 2020, social and economic disruptions caused by COVID-19 lowered energy demand around the world.",2022
55,declined,"Based on an analysis of assessed stocks, the proportion of world marine fish stocks within biologically sustainable levels declined from 90 per cent in 1974 to 69 per cent in 2013 and appears to have stabilized over the last few years.",2016
55,services,Birth registration is a first step towards safeguarding individual rights and providing every person with access to justice and social services.,2017
55,policies,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
55,Southern,"Central and Southern Asia and South-Eastern Asia also lag behind at 68 per cent and 82 per cent, respectively.",2019
55,due,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020
55,Sub-Saharan,"A 10 per cent disruption in access to effective treatment in sub-Saharan Africa could lead to 19,000 additional deaths.",2021
55,2022,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022
56,almost,"Globally, 41 million children in this age group are overweight; almost half of them live in Asia and one quarter live in Africa.",2016
56,increase,"However, violent conflicts have increased in recent years, and a number of high-intensity armed conflicts are causing large numbers of civilian casualties and driving millions of people from their homes.",2017
56,some,Regional trend data show that the extent of surface water increased in some regions from 2001 to 2015.,2018
56,needed,But much more work is needed to ensure that these mechanisms are implemented properly.,2019
56,sustainable," Conflict, insecurity, weak institutions and limited access to justice remain threats to sustainable development.",2020
56,2010,"To meet these goals, global carbon dioxide emissions need to be reduced by 45 per cent by 2030 from 2010 levels, and reach net-zero emissions by 2050.",2021
56,human,"The cost of war and conflict is high, affecting the poor and vulnerable the most and leading to global impacts and escalating human rights violations and humanitarian needs.",2022
57,number,A number of regions have enjoyed increased and sustained levels of peace and security in recent decades.,2016
57,national,"While trafficking affects all regions, many transnational flows involve the movement of victims from lowerto higher-income countries.",2017
57,also,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018
57,change,"As greenhouse gas levels continue to climb, climate change is occurring much faster than anticipated, and its effects are evident worldwide.",2019
57,areas,"One in four children continues to be deprived of legal identity through lack of birth registration, often limiting their ability to exercise rights in other areas.",2020
57,even,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
57,poverty,Almost all small-scale fishers (97 per cent) live in developing countries and many face high levels of poverty and lack broader social and economic development opportunities.,2022
58,under,"Efforts are under way to make national and international institutions more effective, inclusive and transparent.",2016
58,Europe,Compliance was higher than the global average in Europe and Northern America at 46 per cent.,2017
58,many,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018
58,America,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019
58,least,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
58,systems,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
58,half,"That said, more than half (55 per cent) of marine KBAs, on average, are still not safeguarded.Global fish stocks are under increasing threat from overfishing and from illegal, unreported and unregulated fishing.",2022
59,data,"However, significant challenges remain, including lack of data on various forms of violence against children and other vulnerable groups, access to justice and public access to information.",2016
59,around,"Homicides are slowly declining, and more citizens around the world have better access to justice.",2017
59,resources,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
59,globally,"In 2016, adult women comprised nearly half of the detected victims globally, and girls accounted for about 23 per cent.",2019
59,year,"This translates to an average of 11.9 civilian deaths per 100,000 population each year; one in eight of those deaths was a woman or child.",2020
59,risk,"The pandemic is disproportionately affecting the most vulnerable worldwide, with children at high risk.",2021
59,may,"While COVID-19 may have reduced coastal pollution in some areas due to declining tourism and other activity, the pandemic does not appear to have eased coastal eutrophication globally.",2022
60,year,"Globally, the share of girls and boys among victims of human trafficking peaked in 2011, at 21 per cent and 13 per cent, respectively, of cases detected by authorities that year.",2016
60,risk,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017
60,levels,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
60,central,"Substandard working conditions are the main issue, underscoring the central role that decent and productive employment plays in helping people escape poverty.",2019
60,America,Two thirds of homicide victims live in sub-Saharan Africa (36 per cent) and Latin America and the Caribbean (33 per cent).,2020
60,including,"Millions of children around the globe face different forms of exploitation, including trafficking and child labour.",2021
60,high,"The cost of war and conflict is high, affecting the poor and vulnerable the most and leading to global impacts and escalating human rights violations and humanitarian needs.",2022
61,health,"The top three priority areas were water, agriculture and health, which coincide with the top climate hazards that Parties identified – floods, drought and higher temperatures.",2016
61,highest,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017
61,three,"The majority of those living in slums are located in three regions: Eastern and South-Eastern Asia (332 million), Central and Southern Asia (197 million) and sub-Saharan Africa (189 million).",2018
61,levels,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019
61,other,"One in four children continues to be deprived of legal identity through lack of birth registration, often limiting their ability to exercise rights in other areas.",2020
61,globally,"Despite this high toll, the annual number of civilian deaths globally actually decreased by 61 per cent over this period.",2021
61,national,"Many of these conflict situations are fragile, with a growing risk of escalation and associated violations of international human rights and international humanitarian law.",2022
62,2013,"While the numbers of people affected varies greatly from year to year, an average of 83,000 people died and 211 million were affected annually as a result of natural disasters occurring from 2000 to 2013.",2016
62,also,"And while the share of victims trafficked for sexual exploitation has also fallen, the proportion of those trafficked for forced labour has increased.",2017
62,key,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018
62,higher,"For intimate partner homicides only, the share of female victims was even higher at 82 per cent.",2019
62,levels,"Trends suggest that lockdown measures have hardly affected violence in Latin American countries with high levels of homicides, but the intense lockdown measures in European countries with low levels of homicide seem to have drastically reduced violence.",2020
62,almost,This translates to almost 1 in 10 children worldwide.,2021
62,America,"However, stark differences are found among regions, with Latin America and the Caribbean reporting the lowest level of perceived public safety and Eastern and South-Eastern Asia reporting the highest.",2022
63,2010,"Marine resources are particularly important for people living in coastal communities, who represented 37 per cent of the world population in 2010.",2016
63,three,"Implementing realistic budgets is particularly challenging in sub-Saharan Africa, where more than three quarters of countries were more than 5 per cent off, and about 40 per cent of countries experienced a deterioration in the reliability of their budget execution estimates.",2017
63,services,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018
63,average,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019
63,risk,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020
63,income,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021
63,LDCs,"Eastern and South-Eastern Asia and LDCs have the highest bribery incidence – affecting about 30 per cent of businesses, whereas the regions of Latin America and the Caribbean and Europe and Northern America have the lowest bribery incidence – 9 per cent and 8 per cent, respectively.",2022
64,food,"Fisheries contribute significantly to global food security, livelihoods and the economy.",2016
64,under,"While some regions have reached universal or near-universal birth registration, globally the average is just 71 per cent, based on available data reported for 147 countries from 2010 to 2016 and covering 80 per cent of the world’s population of children under age 5.",2017
64,management,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
64,least,"Binding laws and policies giving individuals the right to access information held by public authorities have been adopted by 125 countries, with at least 31 countries adopting such laws since 2013.",2019
64,school,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020
64,2015,"At least 176,095 civilian deaths were recorded in 12 of the world’s deadliest armed conflicts between 2015 and 2020.",2021
64,coverage,The global coverage of MPAs stood at 8 per cent  of global coastal waters and oceans in 2021.,2022
65,15,"The period from 2011 to 2015 was the hottest on record, with sea ice reaching its lowest level in history and coral bleaching – resulting from increased sea surface temperatures – threatening the world’s coral reefs.",2016
65,international,"By the end of 2016, 57 per cent of countries had an NHRI that had been reviewed for compliance with internationally agreed standards (the Paris Principles) by their peers and 37 per cent of countries were found to be compliant.",2017
65,level,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
65,number,"In 2018, the number of people fleeing war, persecution and conflict exceeded 70 million, the highest level that the United Nations High Commissioner for Refugees has seen in almost 70 years.",2019
